"bedal_id","bedal_pw","bedal_name","sido1","gugun1","sido2","gugun2","bedal_tel","bedal_email","bedal_nickname","bedal_vehicle","bedal_image"
agefg,"1234",조미미,서울특별시,강동구,서울특별시,강북구,"010-4848-1852",gwfwffddoe@naver.com,새우dd,선택,"010470.jpg"
bgj1234,"1234",김구희,광주광역시,광산구,광주광역시,남구,"010-4891-1733","155jyn@daum.com",클레오파트라,자전거,"010000.jpg"
dkffkqb,"1234",박창후,서울특별시,관악구,서울특별시,구로구,"010-9595-1850",go@naver.com,도라미,자전거,"012336.jpg"
dwfejif,"1234",박창호,서울특별시,강남구,서울특별시,송파구,"010-9595-1818",go@naver.com,도라에몽,오토바이,"123.jpg"
ggi115123,"1324",이정후,서울특별시,마포구,서울특별시,서대문구,"010-4811-1544",gwwnnoe@naver.com,광어,트럭,"010383.jpg"
ggi11512311,"1234",세일러문,서울특별시,강남구,서울특별시,강북구,"010-4811-1114",gwwnn@naver.com,닭강정,도보,"010375.jpg"
ggiefe123,"1234",이종률,서울특별시,강동구,서울특별시,동대문구,"010-4811-1554",gnnoe@naver.com,돔,트럭,"010410.jpg"
ggiefe123456,"1234",이종민,서울특별시,관악구,서울특별시,강남구,"010-4848-1554",goe@naver.com,새우짱,도보,"010464.jpg"
gkgkghgh,"1234",김창호,서울특별시,노원구,서울특별시,동작구,"010-5858-3666",gwfwffo@naver.com,도라,승용차,"012269.jpg"
grhyjy123,"1234",오지민,서울특별시,강북구,서울특별시,강서구,"010-4811-1778",gwwnqqn@naver.com,상하이,오토바이,"010358.jpg"
hthtjj111,"1234",성지혜,인천광역시,계양구,인천광역시,남동구,"010-4891-1778",gw22n@naver.com,전라도,자전거,"010344.jpg"
jjyjy1567,"1234",박민희,대구광역시,남구,대구광역시,달서구,"010-4891-1758",yjyn@daum.com,초코우유,오토바이,"010083.jpg"
mm12345,"1234",오동규,인천광역시,계양구,인천광역시,남동구,"010-4891-1755","1yjyn@daum.com",바나나바나난나,승용차,"010007.jpg"
nnnddd,"1234",김민지,광주광역시,광산구,광주광역시,남구,"010-5858-3611",gwfwffo@naver.com,재치녀,도보,"012250.jpg"
nnyuy1234,"1234",김윤지,광주광역시,광산구,광주광역시,광산구,"010-4891-1789",gw212n@daum.com,포도쥬스,자전거,"010035 (1).jpg"
nnyuy12345,"1234",박민주,서울특별시,광진구,서울특별시,강남구,"010-4891-1754",gw212gn@daum.com,딸기우유,트럭,"010052.jpg"
oijiij,"1234",김민희,서울특별시,마포구,서울특별시,노원구,"010-5884-4844",gwfwffoe@naver.com,오징어,전동킥보드,"012248.jpg"
park123,ckdgh123*,박창호,서울특별시,도봉구,서울특별시,강북구,"010-3174-9022",cagho2000@naver.com,지이,자전거,신촌_컴퓨터바탕화면_1.jpg
ssijfe,"1234",김민규,서울특별시,광진구,서울특별시,강동구,"010-5884-4774",gwfwffoe@daum.com,오징어짱,자전거,"010512.jpg"
uioppp112388,"1234",오민규,부산광역시,강서구,부산광역시,동래구,"010-4891-1755",gw212n@naver.com,보온병,오토바이,"010028.jpg"
wrgert,"1234",하민지,서울특별시,강서구,서울특별시,강북구,"010-5884-4595",gffoe@daum.com,닉닉닉,도보,"010493.jpg"
